year,revenue_growth_pct,operating_margin_pct,net_margin_pct,current_ratio_pct,debt_to_equity_pct,roa_pct,roe_pct
2022,,2.7068119045823167,2.2170261407719978,177.1844304877351,110.71265947131464,,
2023,39.607526351656816,2.6488838268009114,2.206580292429787,179.7244803264995,126.81326553498322,2.93227277256817,6.420880056086932
2024,10.181358647430537,-3.8671859073822104,-2.3453159306804583,143.89652732669452,179.28670540807389,-3.021383331348576,-7.614645876000152
2025,-4.91993515327147,2.1022047128099257,1.7997926272977884,147.93599098829003,174.8153762558879,2.040502404023513,5.652210529040184
